teks,entitas
"Panitia mengundang Lionel Messi, Raisa Andriana, Joe Biden, dan dr. Tirta Mandira Hudhi, M.Ked. sebagai narasumber.","[{""start"": 19, ""end"": 31, ""label"": ""PER""}, {""start"": 33, ""end"": 47, ""label"": ""PER""}, {""start"": 49, ""end"": 58, ""label"": ""PER""}, {""start"": 64, ""end"": 95, ""label"": ""PER""}]"
Saya punya saudara di jakarta namanya Vladimir Putin.,"[{""start"": 38, ""end"": 52, ""label"": ""PER""}]"
"Nama: Gusti Kanjeng Ratu Hemas, Alamat: Gg. Diponegoro No. 39A, Bogor.","[{""start"": 6, ""end"": 30, ""label"": ""PER""}, {""start"": 40, ""end"": 69, ""label"": ""ADR""}]"
"Ida Bagus Oka baru saja pindah ke Perumahan Bukit Indah Blok A9 No. 21, Medan.","[{""start"": 0, ""end"": 13, ""label"": ""PER""}, {""start"": 34, ""end"": 77, ""label"": ""ADR""}]"
"Nama: Dr. Andi Wijaya, Alamat: Gang Mangga Dua No. 35B, RT 09/RW 11, Kel. Sukajadi, Kec. Sukasari, Surabaya, DI Yogyakarta, 63667.","[{""start"": 6, ""end"": 21, ""label"": ""PER""}, {""start"": 31, ""end"": 129, ""label"": ""ADR""}]"
Habib Rizieq Shihab menghadiri rapat mengenai Google pagi ini.,"[{""start"": 0, ""end"": 19, ""label"": ""PER""}]"
"Surat untuk Ahmad Yani dialamatkan ke Gang Cempaka Putih No. 154, Denpasar.","[{""start"": 12, ""end"": 22, ""label"": ""PER""}, {""start"": 38, ""end"": 74, ""label"": ""ADR""}]"
Surat itu dikirim oleh Larry Page di Depok minggu lalu.,"[{""start"": 23, ""end"": 33, ""label"": ""PER""}]"
Hakim Ketua sebelumnya adalah Iko Uwais.,"[{""start"": 30, ""end"": 39, ""label"": ""PER""}]"
Laporan tersebut telah dikirimkan langsung ke meja Ustadzah Oki Setiana Dewi.,"[{""start"": 51, ""end"": 76, ""label"": ""PER""}]"
"Tim tersebut beranggotakan Scarlett Johansson, Michael McDonald, Putri, dan Tuan Guru Bajang.","[{""start"": 27, ""end"": 45, ""label"": ""PER""}, {""start"": 47, ""end"": 63, ""label"": ""PER""}, {""start"": 65, ""end"": 70, ""label"": ""PER""}, {""start"": 76, ""end"": 92, ""label"": ""PER""}]"
"Menurut Sandiaga Uno, ""keputusan ini sudah final.""","[{""start"": 8, ""end"": 20, ""label"": ""PER""}]"
"Nama: Fatima binti Muhammad, Alamat: Jalan Merdeka No. 7, Balikpapan.","[{""start"": 6, ""end"": 27, ""label"": ""PER""}, {""start"": 37, ""end"": 68, ""label"": ""ADR""}]"
Nelson Mandela menghadiri rapat mengenai Bank Woori Saudara pagi ini.,"[{""start"": 0, ""end"": 14, ""label"": ""PER""}]"
Rapat dewan direksi besok akan dipimpin oleh Zinedine Zidane.,"[{""start"": 45, ""end"": 60, ""label"": ""PER""}]"
"Dalam konferensi persnya, Kim Jong-un menolak memberikan komentar.","[{""start"": 26, ""end"": 37, ""label"": ""PER""}]"
"Di antara peserta terdapat Sergey Brin, I Gusti Ngurah Rai, dan Fatima binti Muhammad.","[{""start"": 27, ""end"": 38, ""label"": ""PER""}, {""start"": 40, ""end"": 58, ""label"": ""PER""}, {""start"": 64, ""end"": 85, ""label"": ""PER""}]"
"Penerima: Dr. Andi Wijaya, Tujuan: Gang Flamboyan No. 2, RT 12/RW 12, Kel. Cihapit, Kec. Gubeng, Semarang, Bali, 82361","[{""start"": 10, ""end"": 25, ""label"": ""PER""}, {""start"": 35, ""end"": 118, ""label"": ""ADR""}]"
"PENERIMA: LEONARDO DICAPRIO, TUJUAN: DUSUN TEGALREJO RT 16/RW 03, KEL. CIHAPIT, KEC. MENTENG, KAB. MALANG","[{""start"": 10, ""end"": 27, ""label"": ""PER""}, {""start"": 37, ""end"": 105, ""label"": ""ADR""}]"
"Alamat saya di 161 Churchill Road, New York, 19936, Amerika Serikat.","[{""start"": 15, ""end"": 67, ""label"": ""ADR""}]"
"Nama: Rudi, Alamat: Perumahan Villa Melati Blok D10 No. 36, Depok.","[{""start"": 6, ""end"": 10, ""label"": ""PER""}, {""start"": 20, ""end"": 65, ""label"": ""ADR""}]"
"Yang hadir dalam pertemuan itu adalah drh. Bimo Prakoso, Brigjen Pol Listyo Sigit Prabowo, dan Fatima binti Muhammad.","[{""start"": 38, ""end"": 55, ""label"": ""PER""}, {""start"": 57, ""end"": 89, ""label"": ""PER""}, {""start"": 95, ""end"": 116, ""label"": ""PER""}]"
"""Saya akan segera berangkat,"" ujar Lionel Messi.","[{""start"": 35, ""end"": 47, ""label"": ""PER""}]"
Direktur Utama Sukaryo meresmikan acara tersebut.,"[{""start"": 15, ""end"": 22, ""label"": ""PER""}]"
Cristiano Ronaldo resmi menjabat sebagai Pembawa Acara mulai bulan depan.,"[{""start"": 0, ""end"": 17, ""label"": ""PER""}]"
Kami sudah lama menetap di London.,[]
"Kepala Sekolah, Jacinda Ardern, menyampaikan pernyataan resmi kemarin.","[{""start"": 16, ""end"": 30, ""label"": ""PER""}]"
Gubernur DKI Jakarta sebelumnya adalah Ahmad Dahlan.,"[{""start"": 39, ""end"": 51, ""label"": ""PER""}]"
Laporan tersebut telah dikirimkan langsung ke meja Bruce Lee.,"[{""start"": 51, ""end"": 60, ""label"": ""PER""}]"
R.M. Said Prawirosoedirdjo bekerja di 17 Agustus 1945.,"[{""start"": 0, ""end"": 26, ""label"": ""PER""}]"
Ketua DPR RI McDonald meresmikan acara tersebut.,"[{""start"": 13, ""end"": 21, ""label"": ""PER""}]"
"Alamat saya di Jl. Mangga Dua No. 89, RT 03/RW 03, Kel. Antapani, Kec. Buah Batu, Yogyakarta, Sumatera Utara, 59036.","[{""start"": 15, ""end"": 115, ""label"": ""ADR""}]"
APAKAH KAMU SUDAH MENGHUBUNGI B.J. HABIBIE HARI INI?,"[{""start"": 30, ""end"": 42, ""label"": ""PER""}]"
Saya melihat Anthony Albanese sedang makan siang di kantin.,"[{""start"": 13, ""end"": 29, ""label"": ""PER""}]"
Acara tersebut diselenggarakan di Kuala Lumpur.,[]
Atlet mulai terlihat sejak dini hari.,[]
Kami sedang menunggu tanda tangan dari Kyai Haji Hasyim Asy'ari untuk mencairkan dana.,"[{""start"": 39, ""end"": 63, ""label"": ""PER""}]"
Kemarin saya bertemu dengan Basuki Rahmat di Yogyakarta.,"[{""start"": 28, ""end"": 41, ""label"": ""PER""}]"
"Paket untuk Martin Luther King Jr. dikirim ke Jl. Sudirman No. 90, Makassar.","[{""start"": 12, ""end"": 34, ""label"": ""PER""}, {""start"": 46, ""end"": 75, ""label"": ""ADR""}]"
Ahmad Dahlan adalah gubernur jawa barat.,"[{""start"": 0, ""end"": 12, ""label"": ""PER""}]"
"KTP atas nama Alif Santoso beralamat di Jl. Basuki Rahmat No. 72B, Manado.","[{""start"": 14, ""end"": 26, ""label"": ""PER""}, {""start"": 40, ""end"": 73, ""label"": ""ADR""}]"
Ia baru saja pindah ke Sydney.,[]
Saya tinggal di Balikpapan sejak kecil.,[]
IA BARU SAJA PINDAH KE JAWA BARAT.,[]
Jangan lupa undang Hj. Siti Fatimah ke acara ulang tahun minggu depan.,"[{""start"": 19, ""end"": 35, ""label"": ""PER""}]"
Pelukis Susi Susanti menyampaikan pernyataan resmi kemarin.,"[{""start"": 8, ""end"": 20, ""label"": ""PER""}]"
Ahmad Yani resmi menjabat sebagai Kepala Sekolah mulai bulan depan.,"[{""start"": 0, ""end"": 10, ""label"": ""PER""}]"
Xi Jinping tinggal di Surabaya sejak tahun lalu.,"[{""start"": 0, ""end"": 10, ""label"": ""PER""}]"
Xi Jinping bertemu dengan rekannya di Inggris.,"[{""start"": 0, ""end"": 10, ""label"": ""PER""}]"
"ALAMAT SAYA DI 424 KENNEDY STREET, BERLIN, 75542, JERMAN.","[{""start"": 15, ""end"": 56, ""label"": ""ADR""}]"
@dewianggrainispsipsikolog membagikan update terbaru di akunnya.,"[{""start"": 1, ""end"": 26, ""label"": ""PER""}]"
"Warren Buffett baru saja pindah ke Gg. Imam Bonjol, RT 09/RW 05, Kel. Gubeng, Balikpapan.","[{""start"": 0, ""end"": 14, ""label"": ""PER""}, {""start"": 35, ""end"": 88, ""label"": ""ADR""}]"
Baik Dedi Mulyadi maupun Conor O'Brien belum memberikan komentar.,"[{""start"": 5, ""end"": 17, ""label"": ""PER""}, {""start"": 25, ""end"": 38, ""label"": ""PER""}]"
"Kost berada di Jalan Rajawali No. 95A, RT 20/RW 08, Desa Sukamaju, Makassar.","[{""start"": 15, ""end"": 75, ""label"": ""ADR""}]"
Laporan tersebut telah dikirimkan langsung ke meja Erick Thohir.,"[{""start"": 51, ""end"": 63, ""label"": ""PER""}]"
Rapat dewan direksi besok akan dipimpin oleh Dedi Mulyadi.,"[{""start"": 45, ""end"": 57, ""label"": ""PER""}]"
"Tim tersebut beranggotakan Keanu Reeves, Kartika Sari, Sp.KG, dan Irfan Hakim.","[{""start"": 27, ""end"": 39, ""label"": ""PER""}, {""start"": 41, ""end"": 60, ""label"": ""PER""}, {""start"": 66, ""end"": 77, ""label"": ""PER""}]"
"RUMAH BELIAU BERADA DI JALAN BASUKI RAHMAT NO. 29A, RT 15/RW 18, KEL. SUKAJADI, BEKASI.","[{""start"": 23, ""end"": 86, ""label"": ""ADR""}]"
"""Saya akan segera berangkat,"" ujar Cristiano Ronaldo.","[{""start"": 35, ""end"": 52, ""label"": ""PER""}]"
"Hartono, S.T., M.T. baru saja pindah dari 19.00 WIB.","[{""start"": 0, ""end"": 19, ""label"": ""PER""}]"
"""Ini adalah langkah yang tepat,"" tutur Cak Lontong kepada wartawan.","[{""start"": 39, ""end"": 50, ""label"": ""PER""}]"
Jangan lupa follow @ahmadyani untuk info terkini.,"[{""start"": 20, ""end"": 29, ""label"": ""PER""}]"
Pihak kepolisian masih memeriksa Nyoman sebagai saksi utama.,"[{""start"": 33, ""end"": 39, ""label"": ""PER""}]"
"Sesuai catatan sipil, domisili tercatat di 793 Bridge Drive, Kuala Lumpur, Malaysia.","[{""start"": 43, ""end"": 83, ""label"": ""ADR""}]"
Penyanyi Ustadz Abdul Somad meresmikan acara tersebut.,"[{""start"": 9, ""end"": 27, ""label"": ""PER""}]"
"KTP atas nama Keanu Reeves beralamat di Jalan Merdeka, RT 05/RW 09, Kel. Antapani, Kec. Sukasari, Malang, DI Yogyakarta, 76879.","[{""start"": 14, ""end"": 26, ""label"": ""PER""}, {""start"": 40, ""end"": 126, ""label"": ""ADR""}]"
"Nelson Mandela, selaku Menteri Keuangan RI, hadir dalam konferensi pers.","[{""start"": 0, ""end"": 14, ""label"": ""PER""}]"
"""KUALA LUMPUR ADALAH PRIORITAS KITA,"" KATA DIPONEGORO.","[{""start"": 43, ""end"": 53, ""label"": ""PER""}]"
Jenderal Gatot Nurmantyo berangkat ke kantor pagi ini.,"[{""start"": 0, ""end"": 24, ""label"": ""PER""}]"
"Nama Lengkap: Basuki Rahmat
Alamat: Jalan Ahmad Yani No. 180B, Denpasar.","[{""start"": 14, ""end"": 27, ""label"": ""PER""}, {""start"": 36, ""end"": 71, ""label"": ""ADR""}]"
Saya tinggal di Semarang sejak kecil.,[]
Mawar mulai terlihat sejak dini hari.,[]
"Halo semua, nama gue Barack Obama, salam kenal ya!","[{""start"": 21, ""end"": 33, ""label"": ""PER""}]"
Banyak pihak yang setuju dengan analisis Budi mengenai krisis ekonomi.,"[{""start"": 41, ""end"": 45, ""label"": ""PER""}]"
Saya tinggal di Jawa Tengah sejak kecil.,[]
"""Terima kasih atas dukungannya,"" ucap Bruce Lee sambil tersenyum.","[{""start"": 38, ""end"": 47, ""label"": ""PER""}]"
Banyak pihak yang setuju dengan analisis Steve Jobs mengenai krisis ekonomi.,"[{""start"": 41, ""end"": 51, ""label"": ""PER""}]"
"""Ini adalah langkah yang tepat,"" tutur Irfan Hakim kepada wartawan.","[{""start"": 39, ""end"": 50, ""label"": ""PER""}]"
"Paket untuk Sri Mulyani dikirim ke Jl. Imam Bonjol No. 6, RT 20/RW 08, Desa Sukamaju, Denpasar.","[{""start"": 12, ""end"": 23, ""label"": ""PER""}, {""start"": 35, ""end"": 94, ""label"": ""ADR""}]"
"KTP menunjukkan alamat di 795 Bridge Road, London, NI5 4DX, Inggris.","[{""start"": 26, ""end"": 67, ""label"": ""ADR""}]"
Atlet hadir dalam acara itu belum dikonfirmasi panitia.,[]
Acara tersebut diselenggarakan di PBB.,[]
Angela Merkel tinggal di Manado sejak tahun lalu.,"[{""start"": 0, ""end"": 13, ""label"": ""PER""}]"
"NOMOR KONTAK DR. ANDI WIJAYA, SP.PD BISA DIHUBUNGI MELALUI GOOGLE.","[{""start"": 13, ""end"": 35, ""label"": ""PER""}]"
Keputusan final berada di tangan Diponegoro selaku manajer proyek.,"[{""start"": 33, ""end"": 43, ""label"": ""PER""}]"
Acara tersebut diselenggarakan di Tangerang.,[]
"Menurut Penyanyi Priyanka Chopra, kebijakan ini akan segera direvisi.","[{""start"": 17, ""end"": 32, ""label"": ""PER""}]"
"Peserta pelatihan meliputi Tigor Silaban, Hartono, S.T., M.T., dan Retno Marsudi dari kantor cabang.","[{""start"": 27, ""end"": 40, ""label"": ""PER""}, {""start"": 42, ""end"": 61, ""label"": ""PER""}, {""start"": 67, ""end"": 80, ""label"": ""PER""}]"
Ustadz Abdul Somad resmi menjabat sebagai Direktur Utama mulai bulan depan.,"[{""start"": 0, ""end"": 18, ""label"": ""PER""}]"
"Barack Obama menegaskan, ""kami akan terus berusaha.""","[{""start"": 0, ""end"": 12, ""label"": ""PER""}]"
PROYEK INI DIPIMPIN LANGSUNG OLEH SERGEY BRIN.,"[{""start"": 34, ""end"": 45, ""label"": ""PER""}]"
Apakah kamu sudah menghubungi Dian Sastrowardoyo hari ini?,"[{""start"": 30, ""end"": 48, ""label"": ""PER""}]"
"Kantor kami beralamat di Gg. Diponegoro No. 47A, Medan.","[{""start"": 25, ""end"": 54, ""label"": ""ADR""}]"
Prof. Emil Salim dan Joe Biden kompak hadir dalam acara itu.,"[{""start"": 0, ""end"": 16, ""label"": ""PER""}, {""start"": 21, ""end"": 30, ""label"": ""PER""}]"
HARGA BBM RESMI NAIK MULAI BESOK.,[]
"Nama: Boris Johnson, Alamat: Jalan Kenanga, Bandung.","[{""start"": 6, ""end"": 19, ""label"": ""PER""}, {""start"": 29, ""end"": 51, ""label"": ""ADR""}]"
Wahyu resmi menjabat sebagai Panglima TNI mulai bulan depan.,"[{""start"": 0, ""end"": 5, ""label"": ""PER""}]"
"Pihak kepolisian masih memeriksa Rangga Pratama, S.Kom., M.Kom. sebagai saksi utama.","[{""start"": 33, ""end"": 63, ""label"": ""PER""}]"
Karya seni milik Dedi Mulyadi berhasil terjual dengan harga fantastis.,"[{""start"": 17, ""end"": 29, ""label"": ""PER""}]"
@churchill baru saja mengunggah foto liburannya.,"[{""start"": 1, ""end"": 10, ""label"": ""PER""}]"
@jokowidodo membagikan update terbaru di akunnya.,"[{""start"": 1, ""end"": 11, ""label"": ""PER""}]"
@vladimirputin baru saja mengunggah foto liburannya.,"[{""start"": 1, ""end"": 14, ""label"": ""PER""}]"
Kantor pusatnya berlokasi di 17 Agustus 1945.,[]
"KTP atas nama B.J. Habibie beralamat di Apartemen Taman Anggrek Residence Tower B Lantai 3, Malang.","[{""start"": 14, ""end"": 26, ""label"": ""PER""}, {""start"": 40, ""end"": 98, ""label"": ""ADR""}]"
KEMARIN SAYA BERTEMU DENGAN LAKSAMANA MUDA TNI SINAR ADI DI STASIUN.,"[{""start"": 28, ""end"": 56, ""label"": ""PER""}]"
"SESUAI CATATAN SIPIL, DOMISILI TERCATAT DI 113 KING STREET, SEOUL, KOREA SELATAN.","[{""start"": 43, ""end"": 80, ""label"": ""ADR""}]"
PELUKIS SEBELUMNYA ADALAH MCDONALD.,"[{""start"": 26, ""end"": 34, ""label"": ""PER""}]"
Presiden AS ke-46 Taylor Swift meresmikan acara tersebut.,"[{""start"": 18, ""end"": 30, ""label"": ""PER""}]"
Karya seni milik Ustadzah Oki Setiana Dewi berhasil terjual dengan harga fantastis.,"[{""start"": 17, ""end"": 42, ""label"": ""PER""}]"
@franoishollande baru saja mengunggah foto liburannya.,"[{""start"": 1, ""end"": 16, ""label"": ""PER""}]"
"Kantor kami beralamat di Apartemen Taman Anggrek Residence Tower C Lantai 11, Balikpapan.","[{""start"": 25, ""end"": 88, ""label"": ""ADR""}]"
"Sukaryo menegaskan, ""kami akan terus berusaha.""","[{""start"": 0, ""end"": 7, ""label"": ""PER""}]"
"Rumah kost berada di Gg. Kenanga No. 4, RT 10/RW 18, Kel. Cihapit, Kec. Sukasari, Balikpapan, DI Yogyakarta, 28918.","[{""start"": 21, ""end"": 114, ""label"": ""ADR""}]"
"Di antara peserta terdapat Bill Gates, Warren Buffett, dan Buya Hamka.","[{""start"": 27, ""end"": 37, ""label"": ""PER""}, {""start"": 39, ""end"": 53, ""label"": ""PER""}, {""start"": 59, ""end"": 69, ""label"": ""PER""}]"
"Menurut B.J. Habibie dan Wayan, kebijakan ini perlu direvisi.","[{""start"": 8, ""end"": 20, ""label"": ""PER""}, {""start"": 25, ""end"": 30, ""label"": ""PER""}]"
Rapat tersebut dihadiri oleh Kanjeng Gusti Pangeran Adipati Arya Mangkunegara IX dan Joe Taslim.,"[{""start"": 29, ""end"": 80, ""label"": ""PER""}, {""start"": 85, ""end"": 95, ""label"": ""PER""}]"
"Ia baru saja pindah ke Gg. Basuki Rahmat, RT 08/RW 14, Kel. Cihapit, Makassar.","[{""start"": 23, ""end"": 77, ""label"": ""ADR""}]"
GEMPA BUMI GUNCANG WILAYAH SELATAN JAWA.,[]
Atlet semua diundang untuk hadir dalam acara tersebut.,[]
"Halo semua, nama gue Agus Harimurti Yudhoyono, salam kenal ya!","[{""start"": 21, ""end"": 45, ""label"": ""PER""}]"
Penghargaan Nobel tahun ini jatuh kepada Sudirman atas dedikasinya.,"[{""start"": 41, ""end"": 49, ""label"": ""PER""}]"
"Nama: Volodymyr Zelenskyy, Alamat: Jalan Cendrawasih No. 28B, RT 19/RW 16, Desa Cibogo, Palembang.","[{""start"": 6, ""end"": 25, ""label"": ""PER""}, {""start"": 35, ""end"": 97, ""label"": ""ADR""}]"
"Sesuai catatan sipil, domisili tercatat di Perumahan Villa Melati Blok F19 No. 42, Medan.","[{""start"": 43, ""end"": 88, ""label"": ""ADR""}]"
Kami sudah lama menetap di Sydney.,[]
JANGAN LUPA FOLLOW @JOEBIDEN UNTUK INFO TERKINI.,"[{""start"": 20, ""end"": 28, ""label"": ""PER""}]"
Ia baru saja pindah ke Surabaya.,[]
Rapat membahas Medan akan dilaksanakan besok.,[]
"Dalam konferensi persnya, Budi Gunadi Sadikin menolak memberikan komentar.","[{""start"": 26, ""end"": 45, ""label"": ""PER""}]"
Laporan tersebut telah dikirimkan langsung ke meja Susi Susanti.,"[{""start"": 51, ""end"": 63, ""label"": ""PER""}]"
"Panitia mengundang Tubagus Hasanuddin, Muhammad Hasan Sadikin, AKBP Ade Safri Simanjuntak, dan Sudirman sebagai narasumber.","[{""start"": 19, ""end"": 37, ""label"": ""PER""}, {""start"": 39, ""end"": 61, ""label"": ""PER""}, {""start"": 63, ""end"": 89, ""label"": ""PER""}, {""start"": 95, ""end"": 103, ""label"": ""PER""}]"
"Rapat RT akan diadakan di Gang Melati No. 158B, RT 08/RW 16, Kel. Antapani, Kec. Gubeng, Balikpapan, Sulawesi Selatan, 71723.","[{""start"": 26, ""end"": 124, ""label"": ""ADR""}]"
"Rapat RT akan diadakan di Gang Mangga Dua No. 60B, Balikpapan.","[{""start"": 26, ""end"": 61, ""label"": ""ADR""}]"
"Tim tersebut beranggotakan Steve Jobs, Bambang Pamungkas, Kamala Harris, dan I Gusti Ngurah Rai.","[{""start"": 27, ""end"": 37, ""label"": ""PER""}, {""start"": 39, ""end"": 56, ""label"": ""PER""}, {""start"": 58, ""end"": 71, ""label"": ""PER""}, {""start"": 77, ""end"": 95, ""label"": ""PER""}]"
Saya tinggal di Sulawesi Selatan sejak kecil.,[]
"Kost berada di Apartemen Kemang Village Tower A Lantai 16, Balikpapan.","[{""start"": 15, ""end"": 69, ""label"": ""ADR""}]"
Banyak pihak yang setuju dengan analisis Eko mengenai krisis ekonomi.,"[{""start"": 41, ""end"": 44, ""label"": ""PER""}]"
"Panitia mengundang Anggun C. Sasmi, Taylor Swift, Agnez Mo, dan Siti Aminah sebagai narasumber.","[{""start"": 19, ""end"": 34, ""label"": ""PER""}, {""start"": 36, ""end"": 48, ""label"": ""PER""}, {""start"": 50, ""end"": 58, ""label"": ""PER""}, {""start"": 64, ""end"": 75, ""label"": ""PER""}]"
Hendra tinggal di Brazil sejak tahun lalu.,"[{""start"": 0, ""end"": 6, ""label"": ""PER""}]"
"Nama Lengkap: Shah Rukh Khan
Alamat: Apartemen Green Pramuka City Tower Melati Lantai 4, Surabaya.","[{""start"": 14, ""end"": 28, ""label"": ""PER""}, {""start"": 37, ""end"": 97, ""label"": ""ADR""}]"
"MENURUT JEAN-LUC PICARD, BALIKPAPAN PERLU DIEVALUASI ULANG.","[{""start"": 8, ""end"": 23, ""label"": ""PER""}]"
"""Terima kasih atas dukungannya,"" ucap Sri Sultan Hamengkubuwono X sambil tersenyum.","[{""start"": 38, ""end"": 65, ""label"": ""PER""}]"
Surat itu dikirim oleh Wahyu di Universitas Diponegoro minggu lalu.,"[{""start"": 23, ""end"": 28, ""label"": ""PER""}]"
"Kapolri, Jefferson, meresmikan acara tersebut.","[{""start"": 9, ""end"": 18, ""label"": ""PER""}]"
Acara tahunan itu selalu digelar di Toronto.,[]
"Kost berada di Gg. Cemara No. 35B, RT 16/RW 13, Kel. Menteng, Semarang.","[{""start"": 15, ""end"": 70, ""label"": ""ADR""}]"
"Surat untuk Laksamana Muda TNI Sinar Adi dialamatkan ke Jl. Cempaka Putih No. 118A, RT 07/RW 08, Kel. Gubeng, Kec. Sukasari, Malang, DI Yogyakarta, 99046.","[{""start"": 12, ""end"": 40, ""label"": ""PER""}, {""start"": 56, ""end"": 153, ""label"": ""ADR""}]"
Suharto baru saja pindah dari RS Siloam.,"[{""start"": 0, ""end"": 7, ""label"": ""PER""}]"
"Rapat tersebut dihadiri oleh Gusti Kanjeng Ratu Hemas dan Hartono, S.T., M.T..","[{""start"": 29, ""end"": 53, ""label"": ""PER""}, {""start"": 58, ""end"": 77, ""label"": ""PER""}]"
"Surat untuk Narendra Modi dialamatkan ke Gg. Ahmad Yani No. 74B, RT 16/RW 06, Desa Cibogo, Makassar.","[{""start"": 12, ""end"": 25, ""label"": ""PER""}, {""start"": 41, ""end"": 99, ""label"": ""ADR""}]"
"PAKET UNTUK JEFF BEZOS DIKIRIM KE APARTEMEN TAMAN ANGGREK RESIDENCE TOWER C LANTAI 4, BEKASI.","[{""start"": 12, ""end"": 22, ""label"": ""PER""}, {""start"": 34, ""end"": 92, ""label"": ""ADR""}]"
"Bambang Pamungkas baru saja pindah ke Perumahan Villa Melati Blok D18 No. 40, Yogyakarta.","[{""start"": 0, ""end"": 17, ""label"": ""PER""}, {""start"": 38, ""end"": 88, ""label"": ""ADR""}]"
Keputusan final berada di tangan Tuan Guru Bajang selaku manajer proyek.,"[{""start"": 33, ""end"": 49, ""label"": ""PER""}]"
"Kemarin saya bertemu dengan Dr. Andi Wijaya, Sp.PD di Depok.","[{""start"": 28, ""end"": 50, ""label"": ""PER""}]"
"Kost berada di 167 Kennedy Drive, Kuala Lumpur, Malaysia.","[{""start"": 15, ""end"": 56, ""label"": ""ADR""}]"
Anthony D'Angelo bertemu dengan rekannya di Tesla.,"[{""start"": 0, ""end"": 16, ""label"": ""PER""}]"
Muhammad Hasan Sadikin bekerja di Universitas Diponegoro.,"[{""start"": 0, ""end"": 22, ""label"": ""PER""}]"
"Rumah beliau berada di Jalan Anggrek, Bekasi.","[{""start"": 23, ""end"": 44, ""label"": ""ADR""}]"
Saya melihat Larry Page sedang makan siang di kantin.,"[{""start"": 13, ""end"": 23, ""label"": ""PER""}]"
"Kevin Sanjaya Sukamuljo, selaku Pembawa Acara, hadir dalam konferensi pers.","[{""start"": 0, ""end"": 23, ""label"": ""PER""}]"
Susi Susanti adalah salah satu tokoh penting dalam sejarah.,"[{""start"": 0, ""end"": 12, ""label"": ""PER""}]"
